1721.TW 三晃 現價:18.30
1722.TW 台肥 現價:61.0
1723.TW 中碳 現價:121.5
1725.TW 元禎 現價:20.45
1726.TW 永記 現價:73.6
1727.TW 中華化 現價:29.15
1730.TW 花仙子 現價:56.4
1731.TW 美吾華 現價:22.05
1732.TW 毛寶 現價:23.20
1733.TW 五鼎 現價:27.10
1734.TW 杏輝 現價:32.90
1735.TW 日勝化 現價:16.60
1736.TW 喬山 現價:69.6
1737.TW 臺鹽 現價:33.50
1742.TWO 台蠟 現價:16.40
1752.TW 南光 現價:52.1
1760.TW 寶齡富錦 現價:110.5
1762.TW 中化生 現價:55.1
1773.TW 勝一 現價:127.5
1776.TW 展宇 現價:16.55
1777.TWO 生泰 現價:85.1
1781.TWO 合世 現價:13.55
1783.TW 和康生 現價:48.20
1784.TWO 訊聯 現價:58.6
1785.TWO 光洋科 現價:40.80
1786.TW 科妍 現價:76.7
1788.TWO 杏昌 現價:132.5
1789.TW 神隆 現價:26.65
1795.TW 美時 現價:247.0
1796.TWO 金穎生技 現價:75.8
1799.TWO 易威 現價:31.90
1802.TW 台玻 現價:19.00
1805.TW 寶徠 現價:14.85
1806.TW 冠軍 現價:9.09
1808.TW 潤隆 現價:95.4
1809.TW 中釉 現價:15.25
1810.TW 和成 現價:18.75
1813.TWO 寶利徠 現價:20.15
1815.TWO 富喬 現價:20.10
1817.TW 凱撒衛 現價:35.45
1903.TW 士紙 現價:54.7
1904.TW 正隆 現價:28.80
1905.TW 華紙 現價:21.35
1906.TW 寶隆 現價:15.35
1907.TW 永豐餘 現價:29.60
1909.TW 榮成 現價:14.20
2002.TW 中鋼 現價:25.00
2002A.TW 中鋼特 現價:-
2006.TW 東和鋼鐵 現價:65.9
2007.TW 燁興 現價:9.66
2008.TW 高興昌 現價:20.55
2009.TW 第一銅 現價:29.10
2010.TW 春源 現價:16.35
2012.TW 春雨 現價:22.30
2013.TW 中鋼構 現價:52.3
2014.TW 中鴻 現價:21.90
2015.TW 豐興 現價:63.5
2017.TW 官田鋼 現價:13.40
2020.TW 美亞 現價:28.90
2022.TW 聚亨 現價:12.00
2023.TW 燁輝 現價:15.55
2024.TW 志聯 現價:19.45
2025.TW 千興 現價:8.10
2027.TW 大成鋼 現價:37.15
2028.TW 威致 現價:22.95
2029.TW 盛餘 現價:25.05
2030.TW 彰源 現價:17.85
2031.TW 新光鋼 現價:47.35
2032.TW 新鋼 現價:15.70
2033.TW 佳大 現價:14.55
2034.TW 允強 現價:26.55
2035.TWO 唐榮 現價:33.60
2038.TW 海光 現價:17.55
2049.TW 上銀 現價:206.0
2059.TW 川湖 現價:724
2061.TWO 風青 現價:14.95
2062.TW 橋椿 現價:23.00
2063.TWO 世鎧 現價:55.8
2064.TWO 晉椿 現價:16.10
2065.TWO 世豐 現價:59.8
2066.TWO 世德 現價:79.0
2067.TWO 嘉鋼 現價:13.10
2069.TW 運錩 現價:15.90
2070.TWO 精湛 現價:30.60
2073.TWO 雄順 現價:29.40
2101.TW 南港 現價:37.05
2102.TW 泰豐 現價:17.70
2103.TW 台橡 現價:23.30
2104.TW 國際中橡 現價:19.60
2105.TW 正新 現價:44.80
2106.TW 建大 現價:29.45
2107.TW 厚生 現價:23.35
2108.TW 南帝 現價:34.75
2109.TW 華豐 現價:13.85
2114.TW 鑫永銓 現價:105.0
2115.TW 六暉-KY 現價:31.10
2201.TW 裕隆 現價:78.8
2204.TW 中華 現價:94.6
2206.TW 三陽工業 現價:71.5
2207.TW 和泰車 現價:646
2208.TW 台船 現價:20.90
2211.TW 長榮鋼 現價:74.3
2221.TWO 大甲 現價:34.45
2227.TW 裕日車 現價:184.5
2228.TW 劍麟 現價:86.9
2230.TWO 泰茂 現價:129.5
2231.TW 為升 現價:136.0
2233.TW 宇隆 現價:138.0
2235.TWO 謚源 現價:42.30
2236.TW 百達-KY 現價:71.0
2239.TW 英利-KY 現價:56.0
2241.TW 艾姆勒 現價:35.25
2243.TW 宏旭-KY 現價:16.35
2247.TW 汎德永業 現價:311.0
2250.TW IKKA-KY 現價:68.9
2254.TW 巨鎧精密-創 現價:104.5
2301.TW 光寶科 現價:111.0
2302.TW 麗正 現價:18.40
2303.TW 聯電 現價:49.40
2305.TW 全友 現價:24.60
2308.TW 台達電 現價:308.0
2312.TW 金寶 現價:14.65
2313.TW 華通 現價:53.9
2314.TW 台揚 現價:36.05
2316.TW 楠梓電 現價:35.70
2317.TW 鴻海 現價:96.4
2321.TW 東訊 現價:16.30
2323.TW 中環 現價:11.55
2324.TW 仁寶 現價:29.80
2327.TW 國巨 現價:551
2328.TW 廣宇 現價:35.00
2329.TW 華泰 現價:44.35
2330.TW 台積電 現價:550
2331.TW 精英 現價:26.60
2332.TW 友訊 現價:19.00
2337.TW 旺宏 現價:28.30
2338.TW 光罩 現價:72.4
2340.TW 台亞 現價:47.15
2342.TW 茂矽 現價:34.60
2344.TW 華邦電 現價:25.85
2345.TW 智邦 現價:535
2347.TW 聯強 現價:69.2
2348.TW 海悅 現價:83.1
2348A.TW 海悅甲特 現價:34.10
2349.TW 錸德 現價:8.18
2351.TW 順德 現價:108.0
2352.TW 佳世達 現價:44.65
2353.TW 宏碁 現價:34.75
2354.TW 鴻準 現價:52.5
2355.TW 敬鵬 現價:36.35
2356.TW 英業達 現價:42.20
2357.TW 華碩 現價:360.5
2358.TW 廷鑫 現價:11.40
2359.TW 所羅門 現價:35.95
2360.TW 致茂 現價:219.5
2362.TW 藍天 現價:32.55
2363.TW 矽統 現價:53.7
2364.TW 倫飛 現價:120.0
2365.TW 昆盈 現價:11.85
2367.TW 燿華 現價:19.25
2368.TW 金像電 現價:197.5
2369.TW 菱生 現價:21.15
2371.TW 大同 現價:36.95
2373.TW 震旦行 現價:73.2
2374.TW 佳能 現價:23.35
2375.TW 凱美 現價:65.8
2376.TW 技嘉 現價:220.0
2377.TW 微星 現價:172.5
2379.TW 瑞昱 現價:410.5
2380.TW 虹光 現價:9.50
2382.TW 廣達 現價:205.5
2383.TW 台光電 現價:400.5
2385.TW 群光 現價:136.0
2387.TW 精元 現價:50.2
2388.TW 威盛 現價:135.0
2390.TW 云辰 現價:15.95
2392.TW 正崴 現價:39.10
2393.TW 億光 現價:45.55
2395.TW 研華 現價:345.0
2397.TW 友通 現價:62.5
2399.TW 映泰 現價:24.50
2401.TW 凌陽 現價:32.55
2402.TW 毅嘉 現價:33.25
2404.TW 漢唐 現價:249.0
2405.TW 輔信 現價:16.15
2406.TW 國碩 現價:16.05
2408.TW 南亞科 現價:65.4
2409.TW 友達 現價:16.30
2412.TW 中華電 現價:117.5
2413.TW 環科 現價:25.85
2414.TW 精技 現價:32.70
2415.TW 錩新 現價:28.10
2417.TW 圓剛 現價:33.55
2419.TW 仲琦 現價:30.45
2420.TW 新巨 現價:46.60
2421.TW 建準 現價:99.7
2423.TW 固緯 現價:35.35
2424.TW 隴華 現價:33.80
2425.TW 承啟 現價:45.00
2426.TW 鼎元 現價:18.15
2427.TW 三商電 現價:29.20
2428.TW 興勤 現價:143.0
2429.TW 銘旺科 現價:18.60
2430.TW 燦坤 現價:38.55
2431.TW 聯昌 現價:10.95
2432.TW 倚天酷碁-創 現價:40.10
2433.TW 互盛電 現價:51.4
2434.TW 統懋 現價:32.10
2436.TW 偉詮電 現價:67.7
2438.TW 翔耀 現價:23.10
2439.TW 美律 現價:98.7
2440.TW 太空梭 現價:12.55
2441.TW 超豐 現價:58.0
2442.TW 新美齊 現價:19.30
2443.TW 昶虹 現價:2.96
2444.TW 兆勁 現價:13.00
2449.TW 京元電子 現價:83.4
2450.TW 神腦 現價:36.85
2451.TW 創見 現價:76.0
2453.TW 凌群 現價:56.8
2454.TW 聯發科 現價:882
2455.TW 全新 現價:150.0
2457.TW 飛宏 現價:54.9
2458.TW 義隆 現價:140.0
2459.TW 敦吉 現價:57.7
2460.TW 建通 現價:28.20
2461.TW 光群雷 現價:23.45
2462.TW 良得電 現價:37.45
2464.TW 盟立 現價:37.50
2465.TW 麗臺 現價:54.3
2466.TW 冠西電 現價:37.50
2467.TW 志聖 現價:47.00
2468.TW 華經 現價:29.35
2471.TW 資通 現價:53.4
2472.TW 立隆電 現價:57.5
2474.TW 可成 現價:184.0
2476.TW 鉅祥 現價:54.7
2477.TW 美隆電 現價:19.05
2478.TW 大毅 現價:47.20
2480.TW 敦陽科 現價:118.0
2481.TW 強茂 現價:62.0
2482.TW 連宇 現價:41.05
2483.TW 百容 現價:24.40
2484.TW 希華 現價:32.35
